BLEU,ROUGE1,ROUGE2,ROUGEL,METEOR,GLEU,Repetition Rate,Flesch Reading Ease,CoSIM,BERT Score,Toxicity,Novelty,Diversity
0.1448,0.4281,0.1908,0.2385,0.1847,0.1657,0.5373,53.71,0.6585,0.6286,0.0005,0.2824,0.4627
0.0616,0.3862,0.0696,0.1787,0.2813,0.1242,0.4895,77.98,0.6781,0.5928,0.0007,0.6694,0.5105
0.176,0.547,0.235,0.3419,0.4515,0.2126,0.4802,48.03,0.8048,0.7019,0.0055,0.5344,0.5198
0.2282,0.4938,0.2547,0.3395,0.233,0.2425,0.5339,62.38,0.8735,0.688,0.0006,0.2351,0.4661
0.3892,0.6418,0.4207,0.4814,0.5626,0.4027,0.4222,58.42,0.792,0.7373,0.0047,0.4462,0.5778
0.1398,0.4714,0.1531,0.2476,0.1804,0.1954,0.502,53.0,0.7862,0.6182,0.0256,0.2789,0.498
0.3793,0.638,0.4224,0.5013,0.5696,0.3978,0.4661,57.61,0.7982,0.7485,0.1915,0.4104,0.5339
0.1169,0.4265,0.1507,0.2767,0.4039,0.1471,0.4625,54.86,0.6376,0.6845,0.0004,0.6471,0.5375
0.2883,0.6,0.3296,0.3833,0.4843,0.3109,0.437,60.55,0.7965,0.7492,0.0013,0.4545,0.563
0.2089,0.4474,0.2781,0.3684,0.4712,0.22,0.4727,58.01,0.7012,0.7453,0.0647,0.5778,0.5273
0.1647,0.482,0.1838,0.2438,0.4263,0.2024,0.4382,61.67,0.7317,0.6726,0.0011,0.6312,0.5618
0.1279,0.4084,0.1692,0.2162,0.3809,0.16,0.476,57.91,0.6373,0.674,0.0097,0.6107,0.524
0.2618,0.4635,0.3642,0.3492,0.6052,0.2665,0.4802,61.56,0.8261,0.7231,0.0006,0.5573,0.5198
0.3401,0.6667,0.4156,0.3411,0.6049,0.3608,0.4585,63.43,0.8618,0.7502,0.0079,0.4307,0.5415
0.2294,0.5105,0.3021,0.3483,0.5178,0.2446,0.4409,51.68,0.7717,0.7105,0.0007,0.5845,0.5591
0.2925,0.5758,0.4024,0.4303,0.3195,0.3026,0.5234,61.67,0.7978,0.7209,0.001,0.207,0.4766
0.1698,0.5356,0.212,0.302,0.4869,0.2097,0.4348,58.32,0.824,0.7082,0.0064,0.5664,0.5652
0.2262,0.6354,0.3491,0.4043,0.2056,0.2485,0.5976,28.3096,0.84,0.6249,0.0104,0.1474,0.4024
0.3024,0.5514,0.3533,0.4378,0.531,0.3212,0.4779,63.83,0.8543,0.7168,0.0004,0.4231,0.5221
